age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
46,3,83822,13.0,14,2,9,0,4,1,0,0,40,38,0.0
18,3,262118,9.0,10,4,0,3,1,0,0,0,22,10,0.0
40,3,155972,8.0,9,2,3,0,4,1,7688,0,55,38,1.0
43,4,214503,8.0,9,2,3,0,4,1,0,1887,45,38,1.0
34,3,159303,13.0,14,4,9,3,4,0,0,0,30,38,0.0
47,5,174995,8.0,9,6,3,1,4,0,0,0,30,38,0.0
44,3,26669,10.0,11,6,3,4,4,0,0,0,30,38,0.0
33,3,177727,8.0,9,2,11,0,4,1,0,0,40,38,1.0
55,3,124771,12.0,13,2,3,0,4,1,15024,0,50,38,1.0
19,3,456736,8.0,9,4,11,1,4,1,2907,0,30,38,0.0
28,3,216604,9.0,10,4,7,1,2,1,0,0,14,38,0.0
27,3,221561,6.0,7,2,7,5,2,0,0,0,32,38,0.0
50,3,114564,3.0,4,2,6,0,4,1,0,0,20,38,0.0
22,3,315476,6.0,7,4,2,4,4,1,0,0,40,38,0.0
40,6,67874,12.0,13,2,0,0,4,1,0,1887,45,38,1.0
25,3,126110,9.0,10,4,0,3,4,0,0,0,40,38,0.0
26,1,102264,8.0,9,4,2,1,4,1,0,0,40,38,0.0
22,3,537222,12.0,13,4,11,1,4,1,0,0,25,38,0.0
42,3,113732,9.0,10,4,5,4,2,0,0,625,40,38,0.0
38,4,93225,12.0,13,0,3,1,4,1,0,0,40,38,0.0
55,3,43064,6.0,7,2,7,0,4,1,0,0,30,38,0.0
32,3,136921,8.0,9,2,11,0,4,1,0,0,40,38,0.0
22,3,388885,8.0,9,2,2,0,4,1,0,0,45,38,0.0
29,3,142249,12.0,13,4,11,3,4,1,0,0,40,38,0.0
46,6,56841,13.0,14,2,3,0,4,1,0,0,45,38,1.0
31,3,156493,9.0,10,2,3,0,4,1,0,0,40,38,1.0
58,5,159021,14.0,16,2,9,0,4,1,0,0,16,38,1.0
42,3,190910,8.0,9,2,2,0,4,1,0,0,45,38,0.0
18,3,41879,8.0,9,4,5,4,4,1,0,0,25,38,0.0
58,1,137249,8.0,9,0,3,1,4,1,0,0,33,38,0.0
54,3,236157,8.0,9,2,9,0,4,1,0,1887,40,38,1.0
34,3,189759,13.0,14,4,9,1,4,1,0,0,40,38,0.0
26,3,239877,12.0,13,4,0,1,4,0,0,0,40,38,0.0
61,3,21175,7.0,8,2,3,0,4,1,0,0,60,38,0.0
48,1,67229,13.0,14,5,0,4,2,0,0,0,40,38,0.0
36,3,236391,9.0,10,2,3,0,4,1,0,0,45,38,1.0
24,3,325596,10.0,11,2,6,0,4,1,0,0,45,38,0.0
40,3,83411,9.0,10,2,6,0,4,1,0,0,37,38,0.0
33,4,154227,8.0,9,2,11,0,4,1,0,0,50,38,1.0
37,3,248010,9.0,10,2,6,0,4,1,0,1887,40,38,1.0
34,3,198613,13.0,14,4,3,3,4,1,4650,0,40,38,0.0
56,4,321529,9.0,10,2,3,0,4,1,15024,0,40,38,1.0
28,8,168524,8.0,9,2,14,3,4,0,0,0,38,38,1.0
37,3,203079,12.0,13,6,3,1,4,0,0,0,55,38,0.0
44,3,284652,8.0,9,0,11,4,2,0,0,0,40,38,0.0
64,8,201368,9.0,10,2,14,0,4,1,0,0,8,38,0.0
54,3,59840,8.0,9,0,5,1,4,1,0,0,45,38,0.0
23,3,52753,8.0,9,4,6,1,4,1,0,0,50,38,0.0
34,6,513100,12.0,13,3,4,1,2,1,0,0,40,41,0.0
22,3,199266,8.0,9,4,7,1,4,0,0,0,45,38,0.0
33,3,196385,12.0,13,2,3,0,4,1,0,1977,40,38,1.0
39,3,163205,12.0,13,5,9,1,4,1,0,0,50,38,1.0
47,3,411047,9.0,10,0,0,1,2,0,0,0,37,38,0.0
79,8,48574,3.0,4,6,14,1,4,1,0,0,40,38,0.0
26,3,209440,8.0,9,4,9,4,2,0,0,0,55,38,0.0
31,3,56964,9.0,10,0,3,4,4,0,0,0,40,38,0.0
44,3,299197,9.0,10,4,13,1,4,1,0,0,45,38,0.0
42,4,240628,15.0,15,2,9,5,4,0,0,0,50,38,1.0
19,3,355313,8.0,9,4,6,1,4,0,0,0,40,38,0.0
27,3,132267,8.0,9,2,5,0,4,1,0,0,40,38,1.0
51,1,174861,9.0,10,2,10,0,4,1,0,0,40,38,1.0
28,4,142443,12.0,13,2,3,0,4,1,0,0,50,38,0.0
57,3,26716,12.0,13,0,2,1,4,1,0,0,45,38,0.0
45,1,185588,12.0,13,0,9,4,4,0,0,0,40,38,0.0
50,3,175029,10.0,11,2,9,0,4,1,0,0,40,38,1.0
34,4,34848,12.0,13,2,11,0,4,1,0,0,54,38,0.0
45,3,411273,3.0,4,2,2,0,2,1,0,0,40,38,0.0
73,1,143437,8.0,9,2,3,0,4,1,0,0,20,38,0.0
34,3,357145,12.0,13,2,9,5,4,0,0,0,50,38,1.0
31,3,236861,9.0,10,2,11,0,4,1,0,0,55,38,1.0
19,3,53355,6.0,7,4,11,1,4,1,0,0,12,38,0.0
25,3,29106,9.0,10,4,7,3,4,0,0,0,50,38,0.0
38,0,213274,10.0,11,0,2,4,4,0,6497,0,40,38,0.0
39,3,22463,12.0,13,2,13,0,4,1,0,0,40,38,0.0
23,3,180497,12.0,13,4,12,3,2,0,0,0,32,38,0.0
49,3,37306,8.0,9,2,6,0,4,1,0,0,40,38,0.0
33,0,137814,8.0,9,4,7,1,4,1,0,0,32,38,0.0
21,3,447488,2.0,3,4,6,2,4,1,0,0,38,25,0.0
31,3,220915,10.0,11,5,2,1,4,1,0,0,40,38,0.0
23,3,42251,12.0,13,4,3,1,4,0,0,0,45,38,0.0
34,3,162312,12.0,13,2,0,0,1,1,0,0,40,29,0.0
25,3,77698,8.0,9,4,6,1,1,0,0,0,40,29,0.0
39,3,282951,8.0,9,4,2,4,4,1,0,0,40,38,0.0
52,4,311259,8.0,9,2,11,0,4,1,0,0,40,38,1.0
63,1,65479,4.0,5,2,13,0,4,1,7688,0,40,38,1.0
41,3,277256,9.0,10,2,2,0,4,1,0,0,40,38,0.0
46,3,312088,12.0,13,2,9,0,4,1,15024,0,38,38,1.0
53,1,169719,8.0,9,2,3,0,4,1,0,0,40,38,0.0
25,8,270276,4.0,5,5,14,1,4,0,1055,0,40,38,0.0
77,8,172744,9.0,10,2,14,0,4,1,0,0,35,38,0.0
18,3,96869,7.0,8,4,8,3,4,1,0,0,40,38,0.0
38,3,237943,15.0,15,2,9,0,4,1,0,0,50,38,0.0
55,3,119751,13.0,14,4,3,4,1,0,0,0,50,36,0.0
34,3,236861,8.0,9,2,12,0,4,1,0,0,40,38,1.0
80,5,201092,8.0,9,2,7,0,4,1,0,0,30,38,0.0
34,3,147215,10.0,11,0,12,4,4,0,0,0,60,38,0.0
52,3,152373,9.0,10,2,12,0,4,1,5013,0,40,38,0.0
42,3,227968,8.0,9,4,7,4,2,0,0,0,28,13,0.0
26,3,362617,9.0,10,4,11,1,4,0,0,0,40,38,0.0
31,3,103435,8.0,9,2,13,0,4,1,0,0,40,38,0.0
25,1,281412,8.0,9,4,7,3,4,0,0,0,35,38,0.0
55,5,105239,8.0,9,2,2,0,4,1,0,2057,60,38,0.0
19,3,230165,9.0,10,4,7,3,4,0,0,0,12,38,0.0
62,5,177493,9.0,10,2,13,0,4,1,0,0,32,38,0.0
22,0,104443,9.0,10,4,0,3,4,0,0,0,20,38,0.0
39,8,110342,8.0,9,2,14,5,4,0,0,0,50,38,0.0
35,3,143385,8.0,9,2,5,0,4,1,0,0,40,38,0.0
28,3,107189,8.0,9,2,11,3,4,0,0,0,40,38,0.0
47,3,212944,8.0,9,2,13,0,4,1,0,0,70,38,1.0
44,6,138634,8.0,9,2,6,0,4,1,0,0,40,38,0.0
21,3,99970,9.0,10,4,11,3,4,1,0,0,15,38,0.0
35,3,203717,10.0,11,4,2,1,4,1,0,0,50,38,0.0
24,3,313956,12.0,13,2,9,0,4,1,0,0,40,38,1.0
42,0,177937,12.0,13,4,9,1,4,1,0,0,40,41,0.0
28,3,193868,12.0,13,4,12,3,4,1,0,0,50,38,0.0
21,3,250939,9.0,10,4,6,2,4,1,0,0,35,38,0.0
62,0,57629,9.0,10,0,12,1,2,1,4650,0,40,38,0.0
39,3,281768,8.0,9,4,7,1,2,0,0,0,40,38,0.0
30,6,260782,8.0,9,4,7,1,4,1,0,0,40,38,0.0
72,5,243769,15.0,15,4,9,1,4,1,0,1429,20,38,0.0
50,3,109937,9.0,10,2,3,5,4,0,0,0,50,38,0.0
28,1,134890,13.0,14,4,9,1,4,1,0,0,40,38,0.0
29,3,100293,9.0,10,4,9,1,4,0,0,0,40,38,0.0
26,3,132179,12.0,13,4,0,3,4,0,0,0,40,38,0.0
27,3,116372,13.0,14,4,3,1,4,0,0,0,40,38,0.0
29,3,255412,9.0,10,2,5,0,4,1,3103,0,40,38,1.0
61,8,195789,8.0,9,2,14,0,4,1,0,0,40,38,0.0
29,3,342400,5.0,6,2,2,0,4,1,0,0,25,38,0.0
21,8,65481,9.0,10,4,14,3,4,0,0,0,30,38,0.0
31,3,169085,6.0,7,2,11,5,4,0,0,0,20,38,0.0
25,3,177221,8.0,9,2,3,0,4,1,0,0,75,38,0.0
58,3,65325,5.0,6,2,13,0,4,1,0,0,40,38,1.0
64,3,118944,9.0,10,2,3,5,4,0,0,0,40,38,1.0
46,6,149337,13.0,14,4,3,1,4,1,0,0,38,38,0.0
53,8,237868,8.0,9,2,14,0,4,1,0,0,35,38,1.0
19,3,106183,8.0,9,4,7,3,0,0,0,0,35,38,0.0
42,3,226388,8.0,9,0,7,1,2,1,0,0,52,38,0.0
18,3,220754,6.0,7,4,5,3,4,1,0,0,24,38,0.0
58,4,204021,12.0,13,2,2,0,4,1,15024,0,50,38,1.0
20,3,347391,9.0,10,4,10,1,2,1,0,0,60,38,0.0
35,0,413930,8.0,9,2,2,0,4,1,0,0,40,38,1.0
32,3,174201,8.0,9,2,5,0,4,1,0,0,38,38,1.0
23,3,145917,8.0,9,4,5,1,4,0,0,0,25,38,0.0
31,3,241797,9.0,10,0,12,4,4,0,0,0,40,38,0.0
33,3,265168,12.0,13,2,11,0,2,1,0,0,55,38,0.0
41,3,171234,9.0,10,4,6,1,4,0,0,0,48,38,0.0
22,3,178452,8.0,9,4,6,3,2,1,0,0,40,38,0.0
46,3,157857,9.0,10,2,10,0,4,1,0,0,40,38,1.0
61,0,512864,9.0,10,2,13,0,2,1,0,0,40,38,0.0
30,3,296462,8.0,9,4,3,1,2,1,0,0,40,38,0.0
42,3,171615,8.0,9,2,3,0,4,1,0,0,55,38,1.0
63,3,214071,5.0,6,2,5,0,4,1,0,0,40,38,0.0
26,3,172421,9.0,10,2,11,0,4,1,0,0,40,38,0.0
42,3,195488,5.0,6,0,0,4,4,0,0,0,40,38,0.0
23,3,316841,9.0,10,2,7,0,4,1,0,0,40,38,0.0
25,3,236267,8.0,9,4,6,4,4,1,0,1590,40,38,0.0
30,3,236543,4.0,5,2,7,0,4,1,0,0,32,7,1.0
23,3,318483,8.0,9,4,11,3,4,1,0,0,40,38,0.0
34,5,163756,10.0,11,4,4,1,4,1,27828,0,60,38,1.0
30,3,238186,8.0,9,2,6,2,4,1,0,2057,48,38,0.0
39,3,329980,9.0,10,2,2,0,4,1,0,0,40,38,1.0
30,3,169269,6.0,7,4,5,2,4,1,0,1721,38,32,0.0
38,1,34744,9.0,10,0,0,4,4,0,0,0,38,38,0.0
26,3,98114,8.0,9,0,3,3,4,0,0,0,40,38,0.0
20,3,109667,9.0,10,4,5,3,4,1,0,0,16,38,0.0
37,1,263690,12.0,13,4,9,4,2,1,0,0,40,41,0.0
33,3,147430,8.0,9,2,0,3,4,0,0,0,40,38,0.0
24,3,224238,12.0,13,4,0,3,4,1,0,0,40,38,0.0
42,4,212894,12.0,13,2,3,0,4,1,0,0,60,38,1.0
51,5,136708,8.0,9,2,11,0,1,1,3103,0,84,39,0.0
56,1,38573,11.0,12,2,12,0,4,1,0,0,45,38,1.0
22,3,197200,9.0,10,4,5,3,4,1,0,0,40,38,0.0
52,5,182796,9.0,10,2,4,0,4,1,0,0,60,38,0.0
44,3,184527,12.0,13,0,3,4,4,0,4934,0,45,38,1.0
34,3,145231,8.0,9,2,0,5,4,0,4064,0,35,38,0.0
51,3,43354,9.0,10,0,2,1,4,1,0,0,42,38,1.0
20,8,318865,9.0,10,4,14,1,4,1,0,0,40,38,0.0
19,3,355712,9.0,10,4,11,1,4,0,0,0,25,38,0.0
37,3,98776,12.0,13,2,3,0,4,1,0,0,40,38,1.0
68,3,257557,8.0,9,2,6,0,2,1,0,0,40,38,1.0
22,3,102258,9.0,10,0,10,1,4,1,0,0,40,38,0.0
56,4,170287,12.0,13,2,3,0,4,1,0,0,40,38,0.0
37,3,243409,8.0,9,2,2,0,4,1,0,0,40,38,0.0
52,3,55608,1.0,2,2,6,0,4,1,0,0,40,25,0.0
26,3,248057,8.0,9,5,5,3,4,1,0,0,40,32,0.0
33,3,95530,13.0,14,2,9,0,4,1,0,0,50,38,0.0
45,1,54038,13.0,14,0,9,4,4,0,0,0,42,38,0.0
18,3,161245,6.0,7,4,7,3,4,1,0,0,15,38,0.0
43,5,388725,9.0,10,2,4,0,4,1,0,0,60,38,1.0
64,5,71807,14.0,16,2,9,0,4,1,15024,0,50,41,1.0
18,3,228216,8.0,9,4,5,3,4,1,0,0,20,38,0.0
20,8,303121,9.0,10,4,14,3,4,1,0,0,45,38,0.0
57,3,78020,8.0,9,2,2,0,4,1,0,0,40,38,1.0
41,3,249254,8.0,9,0,0,4,4,0,3674,0,42,38,0.0
34,3,87218,13.0,14,2,3,0,4,1,0,1887,50,38,1.0
19,3,304299,8.0,9,4,11,4,4,0,0,0,40,38,0.0
44,3,196234,4.0,5,0,7,4,4,0,0,0,55,5,0.0
56,3,197875,5.0,6,6,7,4,4,0,0,0,40,38,0.0
36,4,48063,8.0,9,2,4,0,4,1,0,0,80,38,0.0
48,3,253596,12.0,13,0,3,4,4,0,0,0,48,38,0.0
29,3,39257,8.0,9,2,13,0,4,1,0,0,40,38,1.0
33,3,56150,12.0,13,4,2,1,4,1,2174,0,40,38,0.0
31,3,179415,2.0,3,2,7,0,4,1,0,0,40,25,0.0
39,3,252445,13.0,14,2,9,0,4,1,0,0,45,38,1.0
66,3,275918,8.0,9,2,3,0,4,1,10605,0,40,38,1.0
27,3,106562,12.0,13,4,9,1,4,0,0,0,50,38,1.0
39,3,198654,8.0,9,0,3,4,2,0,99999,0,40,38,1.0
59,3,107318,3.0,4,2,2,0,4,1,5178,0,50,38,1.0
26,3,181896,8.0,9,4,7,3,4,0,0,0,40,38,0.0
31,3,106014,10.0,11,0,2,4,4,1,0,0,40,38,0.0
45,8,319993,8.0,9,6,14,4,4,0,0,0,40,25,0.0
23,3,197997,8.0,9,4,5,3,4,1,0,0,30,38,0.0
36,1,173542,8.0,9,0,0,4,4,0,0,0,40,38,0.0
34,3,207564,9.0,10,2,7,5,4,0,0,0,12,38,1.0
32,3,224462,8.0,9,2,13,0,4,1,0,0,84,38,1.0
37,3,123361,12.0,13,2,9,0,2,1,0,0,50,38,1.0
33,3,90409,12.0,13,4,11,1,4,1,0,0,45,38,0.0
50,5,165001,15.0,15,2,9,0,4,1,99999,0,80,38,1.0
32,0,149573,11.0,12,4,10,1,2,1,0,0,40,38,0.0
35,3,249456,12.0,13,4,0,3,2,0,0,0,40,38,0.0
37,3,149898,6.0,7,2,2,0,4,1,0,0,40,38,0.0
44,3,292985,9.0,10,0,2,1,4,1,0,0,60,38,0.0
57,3,50223,9.0,10,0,5,2,4,1,0,0,25,38,0.0
29,1,400074,9.0,10,2,3,3,4,0,0,0,40,38,0.0
55,3,197399,8.0,9,2,2,0,4,1,0,0,50,38,1.0
43,4,209547,15.0,15,2,9,0,4,1,0,0,25,38,1.0
43,3,52433,9.0,10,2,11,0,4,1,0,0,70,38,0.0
45,5,355978,9.0,10,2,11,0,4,1,0,0,60,38,1.0
33,5,48214,13.0,14,2,9,5,4,0,0,0,8,38,0.0
26,3,190873,5.0,6,0,7,4,4,0,0,0,40,10,0.0
23,3,278390,9.0,10,2,11,0,4,1,0,0,68,38,0.0
41,3,203217,3.0,4,5,2,1,4,1,0,0,40,25,0.0
24,3,279175,8.0,9,2,2,0,4,1,0,0,40,38,0.0
47,5,194590,12.0,13,2,11,0,4,1,0,0,44,38,0.0
34,5,198813,8.0,9,4,2,3,4,1,0,0,45,38,0.0
40,3,187294,8.0,9,2,3,0,4,1,0,0,40,38,1.0
28,3,302903,12.0,13,2,9,5,1,0,0,1485,40,38,0.0
24,3,154835,8.0,9,4,3,3,1,0,0,0,40,34,0.0
73,8,73402,9.0,10,2,14,0,4,1,0,0,10,38,0.0
23,3,100345,8.0,9,4,2,2,4,1,0,0,15,38,0.0
43,5,126320,8.0,9,2,3,0,2,1,0,0,40,38,1.0
26,3,142226,12.0,13,0,12,1,4,0,0,0,40,38,0.0
58,5,112076,14.0,16,1,3,5,4,0,0,1485,35,38,1.0
52,3,225339,8.0,9,6,0,4,2,0,0,0,35,38,0.0
29,3,211208,6.0,7,2,13,0,4,1,0,0,99,38,1.0
47,3,200808,6.0,7,2,7,0,4,1,0,0,35,3,0.0
49,3,220618,8.0,9,0,0,4,2,0,0,0,37,38,0.0
40,3,210493,6.0,7,6,0,4,4,0,0,0,40,38,0.0
62,5,369734,8.0,9,2,0,5,4,0,0,0,40,38,0.0
49,3,27898,8.0,9,2,3,0,4,1,0,1977,55,38,1.0
50,3,138193,12.0,13,0,9,2,4,0,0,0,50,38,1.0
31,3,224234,8.0,9,4,13,3,2,1,0,0,40,38,0.0
48,1,188741,13.0,14,4,9,1,4,0,0,0,50,38,0.0
24,3,183772,8.0,9,4,2,4,4,0,0,0,40,38,0.0
